age,gender,education_level,education_mismatch,sector_of_interest,current_employment_sector,formal_informal,region,location_type,monthly_income,region_employment_rate,regional_unemployment_rate,unemployment_duration,digital_skills_level,technical_skills,training_participation,program_type,household_income,household_size,employment_outcome,intervention_effectiveness,employment_duration_post_intervention,youth_unemployment_rate,urban_rural_employment_rate
21,Female,TVET,False,Agriculture,Agriculture,Informal,Northern,Rural,116417.11,62.63,25.35,,Advanced,[o],True,Business Development,Medium,2,True,Moderately Effective,9.0,19.4,76.42
17,Female,TVET,False,Retail,Retail,Informal,Southern,Rural,102002.15,84.97,18.48,,Intermediate,[],True,Digital Skills,Medium,2,True,Effective,11.0,19.4,31.11
17,Male,TVET,False,Construction,Construction,Informal,Northern,Urban,194184.21,61.7,29.55,,Basic,[],False,,Medium,7,True,Ineffective,10.0,19.4,70.7
25,Female,Primary or Less,False,Education,Education,Formal,Kigali,Urban,151178.79,79.71,16.6,,Advanced,"['Marketing', 'Project Management']",False,,Medium,2,True,Moderately Effective,11.0,19.4,70.04
21,Male,Secondary,False,Retail,Retail,Informal,Northern,Rural,243337.48,71.86,27.23,,Advanced,"['Marketing', 'Project Management']",False,,Medium,7,True,Ineffective,2.0,19.4,57.05
24,Female,TVET,False,Healthcare,Healthcare,Informal,Southern,Urban,68692.73,72.88,20.5,,Advanced,"['Marketing', 'Project Management']",True,Digital Skills,Low,6,True,Moderately Effective,4.0,19.4,53.54
20,Female,Secondary,False,ICT,ICT,Formal,Western,Urban,103588.44,54.76,17.01,,Advanced,"['Marketing', 'Project Management']",True,Digital Skills,Medium,3,True,Moderately Effective,2.0,19.4,44.83
19,Male,Secondary,False,Construction,Construction,Formal,Northern,Urban,140839.9,54.61,11.19,,Basic,"['Marketing', 'Project Management']",False,,High,6,True,Moderately Effective,2.0,19.4,68.8
21,Female,Secondary,False,Retail,,,Southern,Rural,,76.84,10.74,,Basic,"['Marketing', 'Project Management']",True,Digital Skills,Low,8,False,,,19.4,55.2
20,Male,Secondary,False,ICT,ICT,Informal,Northern,Rural,234842.57,89.08,29.01,,Basic,"['Marketing', 'Project Management']",True,Business Development,Low,8,True,Moderately Effective,5.0,19.4,31.48
19,Male,Primary or Less,False,ICT,ICT,Informal,Southern,Rural,243100.53,79.59,18.33,,Basic,[],False,,High,5,True,Ineffective,11.0,19.4,53.97
